Simplified	Traditional	HTML pinyin	HTML meaning	Counter		Homophones	HSK lv	Hanzi lv	All Hanzi lv
及格		<span class="tone2">jí</span> <span class="tone2">gé</span>	<ol><li>to pass an exam or a test</li> <li>to meet a minimum standard</li></ol>				HSK_Level_5	6	[3, 6]
公元		<span class="tone1">gōng</span> <span class="tone2">yuán</span>	<ol><li>CE (Common Era)</li> <li>Christian Era</li> <li>AD (Anno Domini)</li></ol>			<span class="nobr">公园|公園</span>	HSK_Level_5	6	[3, 6]
着火	著火	<span class="tone2">zháo</span> <span class="tone3">huǒ</span>	<ol><li>to ignite</li> <li>to burn</li></ol>				HSK_Level_5	6	[3, 6]
作品		<span class="tone4">zuò</span> <span class="tone3">pǐn</span>	<ol><li>work (of art)</li> <li>opus</li></ol>	部(<span class="tone4">bù</span>), 篇(<span class="tone1">piān</span>)			HSK_Level_5	6	[4, 6]
表达	表達	<span class="tone3">biǎo</span> <span class="tone2">dá</span>	<ol><li>to voice (an opinion)</li> <li>to express</li> <li>to convey</li></ol>				HSK_Level_5	6	[5, 6]
发达	發達	<span class="tone1">fā</span> <span class="tone2">dá</span>	<ol><li>developed (country etc)</li> <li>flourishing</li> <li>to develop</li></ol>				HSK_Level_5	6	[5, 6]
产品	產品	<span class="tone3">chǎn</span> <span class="tone3">pǐn</span>	<ol><li>goods</li> <li>merchandise</li> <li>product</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	6	[5, 6]
报告	報告	<span class="tone4">bào</span> <span class="tone4">gào</span>	<ol><li>to inform</li> <li>to report</li> <li>to make known</li> <li>report</li> <li>speech</li> <li>talk</li> <li>lecture</li></ol>	篇(<span class="tone1">piān</span>), 份(<span class="tone4">fèn</span>), 个|個(<span class="tone4">gè</span>), 通(<span class="tone4">tòng</span>)			HSK_Level_5	6	[5, 6]
发言	發言	<span class="tone1">fā</span> <span class="tone2">yán</span>	<ol><li>to make a speech</li> <li>statement</li> <li>utterance</li></ol>	个|個(<span class="tone4">gè</span>)		<span class="nobr">发炎|發炎</span>	HSK_Level_5	6	[5, 6]
文具		<span class="tone2">wén</span> <span class="tone4">jù</span>	<ol><li>stationery</li> <li>item of stationery (pen, pencil, eraser, pencil sharpener etc)</li></ol>				HSK_Level_5	6	[5, 6]
文字		<span class="tone2">wén</span> <span class="tone4">zì</span>	<ol><li>character</li> <li>script</li> <li>writing</li> <li>written language</li> <li>writing style</li> <li>phraseology</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	6	[5, 6]
直		<span class="tone2">zhí</span>	<ol><li>straight</li> <li>to straighten</li> <li>fair and reasonable</li> <li>frank</li> <li>straightforward</li> <li>(indicates continuing motion or action)</li> <li>vertical</li> <li>vertical downward stroke in Chinese characters</li></ol>				HSK_Level_5	6	[6]
克		<span class="tone4">kè</span>	<ol><li>to be able to</li> <li>to subdue</li> <li>to restrain</li> <li>to overcome</li> <li>gram</li> <li>Tibetan unit of land area, about 6 ares</li></ol>			<span class="nobr">课|課</span> <span class="nobr">刻</span>	HSK_Level_5	6	[6]
则	則	<span class="tone2">zé</span>	<ol><li>conjunction used to express contrast with a previous sentence or clause</li> <li>standard</li> <li>norm</li> <li>rule</li> <li>to imitate</li> <li>to follow</li> <li>then</li> <li>principle</li> <li>classifier for written items (such as an official statement)</li></ol>				HSK_Level_5	6	[6]
达到	達到	<span class="tone2">dá</span> <span class="tone4">dào</span>	<ol><li>to reach</li> <li>to achieve</li> <li>to attain</li></ol>				HSK_Level_5	6	[6, 3]
光明		<span class="tone1">guāng</span> <span class="tone2">míng</span>	<ol><li>light</li> <li>illumination</li> <li>radiance (esp. glory of Buddha etc)</li> <li>fig. bright prospects</li> <li>openhearted</li></ol>				HSK_Level_5	6	[6, 1]
王子		<span class="tone2">wáng</span> <span class="tone3">zǐ</span>	<ol><li>prince</li> <li>son of a king</li></ol>				HSK_Level_5	6	[6, 1]
完美		<span class="tone2">wán</span> <span class="tone3">měi</span>	<ol><li>perfect</li> <li>perfection</li> <li>perfectly</li></ol>				HSK_Level_5	6	[6, 3]
日用品		<span class="tone4">rì</span> <span class="tone4">yòng</span> <span class="tone3">pǐn</span>	<ol><li>articles for daily use</li></ol>	件(<span class="tone4">jiàn</span>), 个|個(<span class="tone4">gè</span>)			HSK_Level_5	6	[1, 5, 6]
告别	告別	<span class="tone4">gào</span> <span class="tone2">bié</span>	<ol><li>to leave</li> <li>to bid farewell to</li> <li>to say good-bye to</li></ol>				HSK_Level_5	6	[6, 3]
万一	萬一	<span class="tone4">wàn</span> <span class="tone1">yī</span>	<ol><li>just in case</li> <li>if by any chance</li> <li>contingency</li></ol>				HSK_Level_5	6	[6, 1]
格外		<span class="tone2">gé</span> <span class="tone4">wài</span>	<ol><li>especially</li> <li>particularly</li></ol>				HSK_Level_5	6	[6, 1]
切		<span class="tone1">qiē</span>	<ol><li>to cut</li> <li>to slice</li> <li>tangent (math)</li></ol>				HSK_Level_5	6	[6]
造成		<span class="tone4">zào</span> <span class="tone2">chéng</span>	<ol><li>to bring about</li> <li>to create</li> <li>to cause</li></ol>				HSK_Level_5	6	[6, 2]
未必		<span class="tone4">wèi</span> <span class="tone4">bì</span>	<ol><li>not necessarily</li> <li>maybe not</li></ol>				HSK_Level_5	6	[6, 3]
未来	未來	<span class="tone4">wèi</span> <span class="tone2">lái</span>	<ol><li>future</li> <li>tomorrow</li> <li>approaching</li> <li>coming</li> <li>pending</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	6	[6, 4]
具体	具體	<span class="tone4">jù</span> <span class="tone3">tǐ</span>	<ol><li>concrete</li> <li>definite</li> <li>specific</li></ol>				HSK_Level_5	6	[6, 4]
具备	具備	<span class="tone4">jù</span> <span class="tone4">bèi</span>	<ol><li>to possess</li> <li>to have</li> <li>equipped with</li> <li>able to fulfill (conditions or requirements)</li></ol>				HSK_Level_5	6	[6, 6]
石头	石頭	<span class="tone2">shí</span> <span class="tone5">tou</span>	<ol><li>stone</li></ol>	块|塊(<span class="tone4">kuài</span>)			HSK_Level_5	6	[6, 4]
消化		<span class="tone1">xiāo</span> <span class="tone4">huà</span>	<ol><li>to digest</li> <li>digestion</li> <li>digestive</li></ol>				HSK_Level_5	6	[6, 4]
照常		<span class="tone4">zhào</span> <span class="tone2">cháng</span>	<ol><li>as usual</li></ol>				HSK_Level_5	6	[6, 3]
首		<span class="tone3">shǒu</span>	<ol><li>head</li> <li>chief</li> <li>first (occasion, thing etc)</li> <li>classifier for poems, songs etc</li></ol>				HSK_Level_5	6	[6]
周到		<span class="tone1">zhōu</span> <span class="tone4">dào</span>	<ol><li>thoughtful</li> <li>considerate</li> <li>attentive</li> <li>thorough</li></ol>				HSK_Level_5	6	[6, 3]
落后	落後	<span class="tone4">luò</span> <span class="tone4">hòu</span>	<ol><li>to fall behind</li> <li>to lag (in technology etc)</li> <li>backward</li> <li>to retrogress</li></ol>				HSK_Level_5	6	[6, 3]
安装	安裝	<span class="tone1">ān</span> <span class="tone1">zhuāng</span>	<ol><li>to install</li> <li>to erect</li> <li>to fix</li> <li>to mount</li> <li>installation</li></ol>				HSK_Level_5	7	[1, 7]
或许	或許	<span class="tone4">huò</span> <span class="tone3">xǔ</span>	<ol><li>perhaps</li> <li>maybe</li></ol>				HSK_Level_5	7	[2, 7]
方式		<span class="tone1">fāng</span> <span class="tone4">shì</span>	<ol><li>way</li> <li>manner</li> <li>style</li> <li>mode</li> <li>pattern</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[2, 7]
主观	主觀	<span class="tone3">zhǔ</span> <span class="tone1">guān</span>	<ol><li>subjective</li></ol>				HSK_Level_5	7	[2, 7]
主持		<span class="tone3">zhǔ</span> <span class="tone2">chí</span>	<ol><li>to take charge of</li> <li>to manage or direct</li> <li>to preside over</li> <li>to uphold</li> <li>to stand for (justice etc)</li> <li>to host (a TV or radio program etc)</li> <li>(TV) anchor</li></ol>				HSK_Level_5	7	[2, 7]
成语	成語	<span class="tone2">chéng</span> <span class="tone3">yǔ</span>	<ol><li>Chinese set expression, often made up of 4 characters or two couplets of 4 characters each, often alluding to a story or historical quotation</li> <li>idiom</li> <li>proverb</li> <li>saying</li> <li>adage</li> <li>set expression</li></ol>	条|條(<span class="tone2">tiáo</span>), 本(<span class="tone3">běn</span>), 句(<span class="tone4">jù</span>)			HSK_Level_5	7	[2, 7]
手指		<span class="tone3">shǒu</span> <span class="tone3">zhǐ</span>	<ol><li>finger</li></ol>	个|個(<span class="tone4">gè</span>), 只|隻(<span class="tone1">zhī</span>)			HSK_Level_5	7	[3, 7]
开放	開放	<span class="tone1">kāi</span> <span class="tone4">fàng</span>	<ol><li>to bloom</li> <li>to open</li> <li>to be open (to the public)</li> <li>to open up (to the outside)</li> <li>to be open-minded</li> <li>unrestrained by convention</li> <li>unconstrained in one's sexuality</li></ol>				HSK_Level_5	7	[3, 7]
样式	樣式	<span class="tone4">yàng</span> <span class="tone4">shì</span>	<ol><li>type</li> <li>style</li></ol>				HSK_Level_5	7	[3, 7]
看望		<span class="tone4">kàn</span> <span class="tone4">wàng</span>	<ol><li>to visit</li> <li>to pay a call to</li></ol>				HSK_Level_5	7	[3, 7]
常识	常識	<span class="tone2">cháng</span> <span class="tone2">shí</span>	<ol><li>common sense</li> <li>general knowledge</li></ol>	门|門(<span class="tone2">mén</span>)			HSK_Level_5	7	[3, 7]
分布	分佈	<span class="tone1">fēn</span> <span class="tone4">bù</span>	<ol><li>distributed</li> <li>to distribute</li></ol>				HSK_Level_5	7	[3, 7]
公布	公佈	<span class="tone1">gōng</span> <span class="tone4">bù</span>	<ol><li>to announce</li> <li>to make public</li> <li>to publish</li></ol>				HSK_Level_5	7	[3, 7]
反复	反覆	<span class="tone3">fǎn</span> <span class="tone4">fù</span>	<ol><li>repeatedly</li> <li>over and over</li> <li>to upend</li> <li>unstable</li> <li>to come and go</li> <li>(of an illness) to return</li></ol>				HSK_Level_5	7	[3, 7]
何况	何況	<span class="tone2">hé</span> <span class="tone4">kuàng</span>	<ol><li>let alone</li> <li>to say nothing of</li> <li>besides</li> <li>what's more</li></ol>				HSK_Level_5	7	[4, 7]
利息		<span class="tone4">lì</span> <span class="tone1">xī</span>	<ol><li>interest (on a loan)</li></ol>	笔|筆(<span class="tone3">bǐ</span>)			HSK_Level_5	7	[4, 7]
进步	進步	<span class="tone4">jìn</span> <span class="tone4">bù</span>	<ol><li>progress</li> <li>improvement</li> <li>to improve</li> <li>to progress</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[5, 7]
声调	聲調	<span class="tone1">shēng</span> <span class="tone4">diào</span>	<ol><li>tone</li> <li>note</li> <li>a tone (on a Chinese syllable)</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[5, 7]
经商	經商	<span class="tone1">jīng</span> <span class="tone1">shāng</span>	<ol><li>to trade</li> <li>to carry out commercial activities</li> <li>in business</li></ol>				HSK_Level_5	7	[5, 7]
重复	重複	<span class="tone2">chóng</span> <span class="tone4">fù</span>	<ol><li>to repeat</li> <li>to duplicate</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[5, 7]
消极	消極	<span class="tone1">xiāo</span> <span class="tone2">jí</span>	<ol><li>negative</li> <li>passive</li> <li>inactive</li></ol>				HSK_Level_5	7	[6, 7]
市场	市場	<span class="tone4">shì</span> <span class="tone3">chǎng</span>	<ol><li>marketplace</li> <li>market (also in abstract)</li></ol>				HSK_Level_5	7	[7, 3]
资金	資金	<span class="tone1">zī</span> <span class="tone1">jīn</span>	<ol><li>funds</li> <li>funding</li> <li>capital</li></ol>				HSK_Level_5	7	[7, 6]
思想		<span class="tone1">sī</span> <span class="tone3">xiǎng</span>	<ol><li>thought</li> <li>thinking</li> <li>idea</li> <li>ideology</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[7, 3]
资格	資格	<span class="tone1">zī</span> <span class="tone2">gé</span>	<ol><li>qualifications</li> <li>seniority</li></ol>				HSK_Level_5	7	[7, 6]
观点	觀點	<span class="tone1">guān</span> <span class="tone3">diǎn</span>	<ol><li>point of view</li> <li>viewpoint</li> <li>standpoint</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[7, 1]
指导	指導	<span class="tone3">zhǐ</span> <span class="tone3">dǎo</span>	<ol><li>to guide</li> <li>to give directions</li> <li>to direct</li> <li>to coach</li> <li>guidance</li> <li>tuition</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[7, 7]
运气	運氣	<span class="tone4">yùn</span> <span class="tone5">qi</span>	<ol><li>luck (good or bad)</li></ol>				HSK_Level_5	7	[7, 5]
运用	運用	<span class="tone4">yùn</span> <span class="tone4">yòng</span>	<ol><li>to use</li> <li>to put to use</li></ol>				HSK_Level_5	7	[7, 5]
改进	改進	<span class="tone3">gǎi</span> <span class="tone4">jìn</span>	<ol><li>to improve</li> <li>to make better</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[7, 5]
改正		<span class="tone3">gǎi</span> <span class="tone4">zhèng</span>	<ol><li>to correct</li> <li>to amend</li> <li>to put right</li> <li>correction</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[7, 2]
极其	極其	<span class="tone2">jí</span> <span class="tone2">qí</span>	<ol><li>extremely</li></ol>				HSK_Level_5	7	[7, 5]
证件	證件	<span class="tone4">zhèng</span> <span class="tone4">jiàn</span>	<ol><li>certificate</li> <li>papers</li> <li>credentials</li> <li>document</li> <li>ID</li></ol>				HSK_Level_5	7	[7, 4]
布		<span class="tone4">bù</span>	<ol><li>cloth</li> <li>to declare</li> <li>to announce</li> <li>to spread</li> <li>to make known</li></ol>			<span class="nobr">不</span>	HSK_Level_5	7	[7]
存在		<span class="tone2">cún</span> <span class="tone4">zài</span>	<ol><li>to exist</li> <li>to be</li> <li>existence</li></ol>				HSK_Level_5	7	[7, 3]
商品		<span class="tone1">shāng</span> <span class="tone3">pǐn</span>	<ol><li>good</li> <li>commodity</li> <li>merchandise</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[7, 6]
商务	商務	<span class="tone1">shāng</span> <span class="tone4">wù</span>	<ol><li>commercial affairs</li> <li>commercial</li> <li>commerce</li> <li>business</li></ol>				HSK_Level_5	7	[7, 3]
商业	商業	<span class="tone1">shāng</span> <span class="tone4">yè</span>	<ol><li>business</li> <li>trade</li> <li>commerce</li></ol>				HSK_Level_5	7	[7, 5]
团	團	<span class="tone2">tuán</span>	<ol><li>round</li> <li>lump</li> <li>ball</li> <li>to roll into a ball</li> <li>to gather</li> <li>regiment</li> <li>group</li> <li>society</li> <li>classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)</li></ol>				HSK_Level_5	7	[7]
集合		<span class="tone2">jí</span> <span class="tone2">hé</span>	<ol><li>to gather</li> <li>to assemble</li> <li>set (mathematics)</li></ol>				HSK_Level_5	7	[7, 2]
集体	集體	<span class="tone2">jí</span> <span class="tone3">tǐ</span>	<ol><li>collective</li> <li>social</li> <li>team</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[7, 4]
集中		<span class="tone2">jí</span> <span class="tone1">zhōng</span>	<ol><li>to concentrate</li> <li>to centralize</li> <li>to focus</li> <li>centralized</li> <li>concentrated</li> <li>to put together</li></ol>				HSK_Level_5	7	[7, 1]
复制	複製	<span class="tone4">fù</span> <span class="tone4">zhì</span>	<ol><li>to duplicate</li> <li>to make a copy of</li> <li>to copy</li> <li>to reproduce</li> <li>to clone</li></ol>				HSK_Level_5	7	[7, 2]
企业	企業	<span class="tone3">qǐ</span> <span class="tone4">yè</span>	<ol><li>company</li> <li>firm</li> <li>enterprise</li> <li>corporation</li></ol>	家(<span class="tone1">jiā</span>)			HSK_Level_5	7	[7, 5]
曾经	曾經	<span class="tone2">céng</span> <span class="tone1">jīng</span>	<ol><li>once</li> <li>already</li> <li>former</li> <li>previously</li> <li>ever</li> <li>(past tense marker used before verb or clause)</li></ol>				HSK_Level_5	7	[7, 5]
农民	農民	<span class="tone2">nóng</span> <span class="tone2">mín</span>	<ol><li>peasant</li> <li>farmer</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[7, 5]
农业	農業	<span class="tone2">nóng</span> <span class="tone4">yè</span>	<ol><li>agriculture</li> <li>farming</li></ol>				HSK_Level_5	7	[7, 5]
装	裝	<span class="tone1">zhuāng</span>	<ol><li>adornment</li> <li>to adorn</li> <li>dress</li> <li>clothing</li> <li>costume (of an actor in a play)</li> <li>to play a role</li> <li>to pretend</li> <li>to install</li> <li>to fix</li> <li>to wrap (sth in a bag)</li> <li>to load</li> <li>to pack</li></ol>				HSK_Level_5	7	[7]
广场	廣場	<span class="tone3">guǎng</span> <span class="tone3">chǎng</span>	<ol><li>public square</li> <li>plaza</li></ol>				HSK_Level_5	7	[7, 3]
广大	廣大	<span class="tone3">guǎng</span> <span class="tone4">dà</span>	<ol><li>(of an area) vast or extensive</li> <li>large-scale</li> <li>widespread</li> <li>(of people) numerous</li></ol>				HSK_Level_5	7	[7, 1]
语气	語氣	<span class="tone3">yǔ</span> <span class="tone4">qì</span>	<ol><li>tone</li> <li>manner of speaking</li> <li>mood</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	7	[7, 5]
日程		<span class="tone4">rì</span> <span class="tone2">chéng</span>	<ol><li>schedule</li> <li>itinerary</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	8	[1, 8]
本质	本質	<span class="tone3">běn</span> <span class="tone4">zhì</span>	<ol><li>essence</li> <li>nature</li> <li>innate character</li> <li>intrinsic quality</li></ol>				HSK_Level_5	8	[1, 8]
相似		<span class="tone1">xiāng</span> <span class="tone4">sì</span>	<ol><li>to resemble</li> <li>similar</li> <li>like</li> <li>resemblance</li> <li>similarity</li></ol>				HSK_Level_5	8	[1, 8]
日历	日曆	<span class="tone4">rì</span> <span class="tone4">lì</span>	<ol><li>calendar</li></ol>	张|張(<span class="tone1">zhāng</span>), 本(<span class="tone3">běn</span>)			HSK_Level_5	8	[1, 8]
道德		<span class="tone4">dào</span> <span class="tone2">dé</span>	<ol><li>virtue</li> <li>morality</li> <li>ethics</li></ol>	种|種(<span class="tone3">zhǒng</span>)			HSK_Level_5	8	[2, 8]
政治		<span class="tone4">zhèng</span> <span class="tone4">zhì</span>	<ol><li>politics</li> <li>political</li></ol>				HSK_Level_5	8	[2, 8]
建设	建設	<span class="tone4">jiàn</span> <span class="tone4">shè</span>	<ol><li>to build</li> <li>to construct</li> <li>construction</li> <li>constructive</li></ol>				HSK_Level_5	8	[2, 8]
政府		<span class="tone4">zhèng</span> <span class="tone3">fǔ</span>	<ol><li>government</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	8	[2, 8]
学历	學歷	<span class="tone2">xué</span> <span class="tone4">lì</span>	<ol><li>educational background</li> <li>academic qualifications</li></ol>				HSK_Level_5	8	[2, 8]
总算	總算	<span class="tone3">zǒng</span> <span class="tone4">suàn</span>	<ol><li>at long last</li> <li>finally</li> <li>on the whole</li></ol>				HSK_Level_5	8	[3, 8]
出示		<span class="tone1">chū</span> <span class="tone4">shì</span>	<ol><li>to show</li> <li>to take out and show to others</li> <li>to display</li></ol>				HSK_Level_5	8	[3, 8]
人类	人類	<span class="tone2">rén</span> <span class="tone4">lèi</span>	<ol><li>humanity</li> <li>human race</li> <li>mankind</li></ol>				HSK_Level_5	8	[4, 8]
种类	種類	<span class="tone3">zhǒng</span> <span class="tone4">lèi</span>	<ol><li>kind</li> <li>genus</li> <li>type</li> <li>category</li> <li>variety</li> <li>species</li> <li>sort</li> <li>class</li></ol>				HSK_Level_5	8	[4, 8]
数据	數據	<span class="tone4">shù</span> <span class="tone4">jù</span>	<ol><li>data</li> <li>numbers</li> <li>digital</li></ol>				HSK_Level_5	8	[4, 8]
物质	物質	<span class="tone4">wù</span> <span class="tone4">zhì</span>	<ol><li>matter</li> <li>substance</li> <li>material</li> <li>materialistic</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	8	[4, 8]
报社	報社	<span class="tone4">bào</span> <span class="tone4">shè</span>	<ol><li>general office of a newspaper</li> <li>newspaper office</li></ol>	家(<span class="tone1">jiā</span>)			HSK_Level_5	8	[5, 8]
电台	電臺	<span class="tone4">diàn</span> <span class="tone2">tái</span>	<ol><li>transmitter-receiver</li> <li>broadcasting station</li> <li>radio station</li></ol>	个|個(<span class="tone4">gè</span>), 家(<span class="tone1">jiā</span>)			HSK_Level_5	8	[5, 8]
性质	性質	<span class="tone4">xìng</span> <span class="tone4">zhì</span>	<ol><li>nature</li> <li>characteristic</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	8	[5, 8]
用功		<span class="tone4">yòng</span> <span class="tone1">gōng</span>	<ol><li>diligent</li> <li>industrious (in one's studies)</li> <li>to study hard</li> <li>to make great effort</li></ol>				HSK_Level_5	8	[5, 8]
计算	計算	<span class="tone4">jì</span> <span class="tone4">suàn</span>	<ol><li>to count</li> <li>to calculate</li> <li>to compute</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	8	[6, 8]
消失		<span class="tone1">xiāo</span> <span class="tone1">shī</span>	<ol><li>to disappear</li> <li>to fade away</li></ol>				HSK_Level_5	8	[6, 8]
工程师	工程師	<span class="tone1">gōng</span> <span class="tone2">chéng</span> <span class="tone1">shī</span>	<ol><li>engineer</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>), 名(<span class="tone2">míng</span>)			HSK_Level_5	8	[1, 8, 7]
证据	證據	<span class="tone4">zhèng</span> <span class="tone4">jù</span>	<ol><li>evidence</li> <li>proof</li> <li>testimony</li></ol>				HSK_Level_5	8	[7, 8]
至于	至於	<span class="tone4">zhì</span> <span class="tone2">yú</span>	<ol><li>as for</li> <li>as to</li> <li>to go so far as to</li></ol>				HSK_Level_5	8	[8, 5]
便		<span class="tone4">biàn</span>	<ol><li>ordinary</li> <li>plain</li> <li>convenient</li> <li>as convenient</li> <li>when the chance arises</li> <li>handy</li> <li>easy</li> <li>informal</li> <li>simple</li> <li>so</li> <li>thus</li> <li>to relieve oneself</li> <li>to urinate</li> <li>to defecate</li> <li>equivalent to 就[jiu4]: then</li> <li>in that case</li> <li>even if</li> <li>soon afterwards</li></ol>			<span class="nobr">遍</span>	HSK_Level_5	8	[8]
设计	設計	<span class="tone4">shè</span> <span class="tone4">jì</span>	<ol><li>plan</li> <li>design</li> <li>to design</li> <li>to plan</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	8	[8, 6]
据说	據說	<span class="tone4">jù</span> <span class="tone1">shuō</span>	<ol><li>it is said that</li> <li>reportedly</li></ol>				HSK_Level_5	8	[8, 2]
程度		<span class="tone2">chéng</span> <span class="tone4">dù</span>	<ol><li>degree (level or extent)</li> <li>level</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	8	[8, 4]
规则	規則	<span class="tone1">guī</span> <span class="tone2">zé</span>	<ol><li>rule</li> <li>regulation</li> <li>rules and regulations</li></ol>				HSK_Level_5	8	[8, 6]
保持		<span class="tone3">bǎo</span> <span class="tone2">chí</span>	<ol><li>to keep</li> <li>to maintain</li> <li>to hold</li> <li>to preserve</li></ol>				HSK_Level_5	8	[8, 7]
办理	辦理	<span class="tone4">bàn</span> <span class="tone3">lǐ</span>	<ol><li>to handle</li> <li>to transact</li> <li>to conduct</li></ol>				HSK_Level_5	8	[8, 2]
失去		<span class="tone1">shī</span> <span class="tone4">qù</span>	<ol><li>to lose</li></ol>				HSK_Level_5	8	[8, 3]
失业	失業	<span class="tone1">shī</span> <span class="tone4">yè</span>	<ol><li>unemployment</li> <li>to lose one's job</li></ol>				HSK_Level_5	8	[8, 5]
保存		<span class="tone3">bǎo</span> <span class="tone2">cún</span>	<ol><li>to conserve</li> <li>to preserve</li> <li>to keep</li> <li>to save (a file etc) (computing)</li></ol>				HSK_Level_5	8	[8, 7]
爱心	愛心	<span class="tone4">ài</span> <span class="tone1">xīn</span>	<ol><li>compassion</li> <li>kindness</li> <li>care for others</li> <li>love</li> <li>charity (bazaar, golf day etc)</li> <li>heart (the symbol ♥)</li></ol>	片(<span class="tone4">piàn</span>)			HSK_Level_5	8	[8, 3]
设备	設備	<span class="tone4">shè</span> <span class="tone4">bèi</span>	<ol><li>equipment</li> <li>facilities</li> <li>installations</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	8	[8, 6]
花生		<span class="tone1">huā</span> <span class="tone1">shēng</span>	<ol><li>peanut</li> <li>groundnut</li></ol>	粒(<span class="tone4">lì</span>)			HSK_Level_5	8	[8, 5]
似的		<span class="tone4">shì</span> <span class="tone5">de</span>	<ol><li>seems as if</li> <li>rather like</li></ol>		<span class="tone4">sì</span> <span class="tone5">de</span>		HSK_Level_5	8	[8, 1]
支		<span class="tone1">zhī</span>	<ol><li>to support</li> <li>to sustain</li> <li>to erect</li> <li>to raise</li> <li>branch</li> <li>division</li> <li>to draw money</li> <li>classifier for rods such as pens and guns, for army divisions and for songs or compositions</li></ol>			<span class="nobr">只|隻</span> <span class="nobr">之</span> <span class="nobr">枝</span>	HSK_Level_5	8	[8]
取消		<span class="tone3">qǔ</span> <span class="tone1">xiāo</span>	<ol><li>to cancel</li> <li>cancellation</li></ol>				HSK_Level_5	8	[8, 6]
称	稱	<span class="tone1">chēng</span>	<ol><li>to weigh</li> <li>to state</li> <li>to name</li> <li>name</li> <li>appellation</li> <li>to praise</li></ol>				HSK_Level_5	8	[8]
功能		<span class="tone1">gōng</span> <span class="tone2">néng</span>	<ol><li>function</li> <li>capability</li></ol>				HSK_Level_5	8	[8, 5]
尽量	儘量	<span class="tone3">jǐn</span> <span class="tone4">liàng</span>	<ol><li>as much as possible</li> <li>to the greatest extent</li></ol>				HSK_Level_5	8	[8, 1]
尽力	盡力	<span class="tone4">jìn</span> <span class="tone4">lì</span>	<ol><li>to strive one's hardest</li> <li>to spare no effort</li></ol>				HSK_Level_5	8	[8, 3]
列车	列車	<span class="tone4">liè</span> <span class="tone1">chē</span>	<ol><li>(railway) train</li></ol>				HSK_Level_5	8	[8, 6]
本科		<span class="tone3">běn</span> <span class="tone1">kē</span>	<ol><li>undergraduate course</li> <li>undergraduate (attributive)</li></ol>				HSK_Level_5	9	[1, 9]
外交		<span class="tone4">wài</span> <span class="tone1">jiāo</span>	<ol><li>diplomacy</li> <li>diplomatic</li> <li>foreign affairs</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	9	[1, 9]
本领	本領	<span class="tone3">běn</span> <span class="tone3">lǐng</span>	<ol><li>skill</li> <li>ability</li> <li>capability</li></ol>	项|項(<span class="tone4">xiàng</span>), 个|個(<span class="tone4">gè</span>)			HSK_Level_5	9	[1, 9]
名片		<span class="tone2">míng</span> <span class="tone4">piàn</span>	<ol><li>(business) card</li></ol>				HSK_Level_5	9	[1, 9]
目标	目標	<span class="tone4">mù</span> <span class="tone1">biāo</span>	<ol><li>target</li> <li>goal</li> <li>objective</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_5	9	[1, 9]
天空		<span class="tone1">tiān</span> <span class="tone1">kōng</span>	<ol><li>sky</li></ol>				HSK_Level_5	9	[2, 9]
立即		<span class="tone4">lì</span> <span class="tone2">jí</span>	<ol><li>immediately</li></ol>				HSK_Level_5	9	[2, 9]
战争	戰爭	<span class="tone4">zhàn</span> <span class="tone1">zhēng</span>	<ol><li>war</li> <li>conflict</li></ol>	场|場(<span class="tone2">cháng</span>), 次(<span class="tone4">cì</span>)			HSK_Level_5	9	[2, 9]
