Simplified	Traditional	HTML pinyin	HTML meaning	Counter		Homophones	HSK lv	Hanzi lv	All Hanzi lv
个	個	<span class="tone4">gè</span>	<ol><li>individual</li> <li>this</li> <li>that</li> <li>size</li> <li>classifier for people or objects in general</li></ol>			<span class="nobr">各</span>	HSK_Level_1	2	[2]
说	說	<span class="tone1">shuō</span>	<ol><li>to speak</li> <li>to say</li> <li>to explain</li> <li>to scold</li> <li>to tell off</li> <li>a theory (usually in compounds such as 日心说 heliocentric theory)</li></ol>				HSK_Level_1	2	[2]
家		<span class="tone1">jiā</span>	<ol><li>home</li> <li>family</li> <li>(polite) my (sister, uncle etc)</li> <li>classifier for families or businesses</li> <li>refers to the philosophical schools of pre-Han China</li> <li>noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_1	2	[2]
些		<span class="tone1">xiē</span>	<ol><li>some</li> <li>few</li> <li>several</li> <li>measure word indicating a small amount or small number (greater than 1)</li></ol>			<span class="nobr">歇</span>	HSK_Level_1	2	[2]
她		<span class="tone1">tā</span>	<ol><li>she</li></ol>			<span class="nobr">他</span> <span class="nobr">它</span> <span class="nobr">塌</span>	HSK_Level_1	2	[2]
中国	中國	<span class="tone1">zhōng</span> <span class="tone2">guó</span>	<ol><li>China</li></ol>				HSK_Level_1	3	[1, 3]
现在	現在	<span class="tone4">xiàn</span> <span class="tone4">zài</span>	<ol><li>now</li> <li>at present</li> <li>at the moment</li> <li>modern</li> <li>current</li> <li>nowadays</li></ol>				HSK_Level_1	3	[2, 3]
在		<span class="tone4">zài</span>	<ol><li>(located) at</li> <li>(to be) in</li> <li>to exist</li> <li>in the middle of doing sth</li> <li>(indicating an action in progress)</li></ol>			<span class="nobr">再</span>	HSK_Level_1	3	[3]
我		<span class="tone3">wǒ</span>	<ol><li>I</li> <li>me</li> <li>my</li></ol>				HSK_Level_1	3	[3]
会	會	<span class="tone4">huì</span>	<ol><li>can</li> <li>to be possible</li> <li>to be able to</li> <li>will</li> <li>to be likely to</li> <li>to be sure to</li> <li>to assemble</li> <li>to meet</li> <li>to gather</li> <li>to see</li> <li>union</li> <li>group</li> <li>association</li> <li>a moment (Taiwan pr. for this sense is [hui3])</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_1	3	[3]
去		<span class="tone4">qù</span>	<ol><li>to go</li> <li>to go to (a place)</li> <li>to cause to go or send (sb)</li> <li>to remove</li> <li>to get rid of</li> <li>(when used either before or after a verb) to go in order to do sth</li> <li>to be apart from in space or time</li> <li>(after a verb of motion indicates movement away from the speaker)</li> <li>(used after certain verbs to indicate detachment or separation)</li> <li>(of a time or an event etc) just passed or elapsed</li></ol>				HSK_Level_1	3	[3]
没有	沒有	<span class="tone2">méi</span> <span class="tone3">yǒu</span>	<ol><li>haven't</li> <li>hasn't</li> <li>doesn't exist</li> <li>to not have</li> <li>to not be</li></ol>				HSK_Level_1	3	[3, 1]
看		<span class="tone4">kàn</span>	<ol><li>to see</li> <li>to look at</li> <li>to read</li> <li>to watch</li> <li>to visit</li> <li>to call on</li> <li>to consider</li> <li>to regard as</li> <li>to look after</li> <li>to treat (an illness)</li> <li>to depend on</li> <li>to feel (that)</li> <li>(after verb) to give it a try</li> <li>Watch out! (for a danger)</li></ol>				HSK_Level_1	3	[3]
开	開	<span class="tone1">kāi</span>	<ol><li>to open</li> <li>to start</li> <li>to turn on</li> <li>to boil</li> <li>to write out (a prescription, check, invoice etc)</li> <li>to operate (a vehicle)</li> <li>carat (gold)</li> <li>abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]</li> <li>abbr. for 開本|开本[kai1 ben3], book format</li></ol>				HSK_Level_1	3	[3]
想		<span class="tone3">xiǎng</span>	<ol><li>to think</li> <li>to believe</li> <li>to suppose</li> <li>to wish</li> <li>to want</li> <li>to miss (feel wistful about the absence of sb or sth)</li></ol>			<span class="nobr">响|響</span>	HSK_Level_1	3	[3]
看见	看見	<span class="tone4">kàn</span> <span class="tone4">jiàn</span>	<ol><li>to see</li> <li>to catch sight of</li></ol>				HSK_Level_1	3	[3, 1]
回		<span class="tone2">huí</span>	<ol><li>to circle</li> <li>to go back</li> <li>to turn around</li> <li>to answer</li> <li>to return</li> <li>to revolve</li> <li>Hui ethnic group (Chinese Muslims)</li> <li>time</li> <li>classifier for acts of a play</li> <li>section or chapter (of a classic book)</li></ol>				HSK_Level_1	3	[3]
工作		<span class="tone1">gōng</span> <span class="tone4">zuò</span>	<ol><li>to work</li> <li>(of a machine) to operate</li> <li>job</li> <li>work</li> <li>task</li></ol>	个|個(<span class="tone4">gè</span>), 份(<span class="tone4">fèn</span>), 项|項(<span class="tone4">xiàng</span>)			HSK_Level_1	4	[1, 4]
水果		<span class="tone3">shuǐ</span> <span class="tone3">guǒ</span>	<ol><li>fruit</li></ol>	个|個(<span class="tone4">gè</span>)			HSK_Level_1	4	[1, 4]
对不起	對不起	<span class="tone4">duì</span> <span class="tone5">bu</span> <span class="tone3">qǐ</span>	<ol><li>unworthy</li> <li>to let down</li> <li>I'm sorry</li> <li>excuse me</li> <li>pardon me</li> <li>if you please</li> <li>sorry? (please repeat)</li></ol>				HSK_Level_1	4	[3, 4, 2]
不		<span class="tone4">bù</span>	<ol><li>(negative prefix)</li> <li>not</li> <li>no</li></ol>			<span class="nobr">布</span>	HSK_Level_1	4	[4]
人		<span class="tone2">rén</span>	<ol><li>man</li> <li>person</li> <li>people</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>)			HSK_Level_1	4	[4]
他		<span class="tone1">tā</span>	<ol><li>he or him</li> <li>(used for either sex when the sex is unknown or unimportant)</li> <li>(used before sb's name for emphasis)</li> <li>(used as a meaningless mock object)</li> <li>other</li> <li>another</li></ol>			<span class="nobr">她</span> <span class="nobr">它</span> <span class="nobr">塌</span>	HSK_Level_1	4	[4]
来	來	<span class="tone2">lái</span>	<ol><li>to come</li> <li>to arrive</li> <li>to come round</li> <li>ever since</li> <li>next</li></ol>				HSK_Level_1	4	[4]
和		<span class="tone2">hé</span>	<ol><li>and</li> <li>together with</li> <li>with</li> <li>sum</li> <li>union</li> <li>peace</li> <li>harmony</li> <li>Taiwan pr. [han4] when it means "and" or "with"</li></ol>				HSK_Level_1	4	[4]
